mapping,topology_scenario,arrival_scenario,initial_state,scrub_period,representation,trials,e_cap_count,f_a,ci_method,confidence_level,ci_low,ci_high,ci_half_width,precision_limit,precision_satisfied,paired_disagreement_rate_vs_l1,l2_input_fingerprint,signed_error_vs_l1,absolute_error_vs_l1,relative_error_vs_l1
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,1.0,L2-independent_word_marginals,8000,3485,0.435625,wilson_score,0.95,0.424793119240488,0.4465186745651124,0.010862777662312195,0.011,True,0.169375,ac4e314c0b4ce3b68ba671935652598ca285ec0ed85653390da5b1accc8e4e56,0.05462499999999998,0.05462499999999998,0.14337270341207342
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,1.0,L3-U,8000,4795,0.599375,wilson_score,0.95,0.5885918246103385,0.6100627849518896,0.010735480170775524,0.011,True,,,0.21837499999999999,0.21837499999999999,0.5731627296587926
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,2.0,L0,8000,4335,0.541875,wilson_score,0.95,0.5309394646513034,0.5527703393780633,0.010915437363379965,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,2.0,L1,8000,4335,0.541875,wilson_score,0.95,0.5309394646513034,0.5527703393780633,0.010915437363379965,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,2.0,L2-independent_word_marginals,8000,4741,0.592625,wilson_score,0.95,0.5818161469532183,0.6033449419595,0.010764397503140843,0.011,True,0.17075,ac4e314c0b4ce3b68ba671935652598ca285ec0ed85653390da5b1accc8e4e56,0.05074999999999996,0.05074999999999996,0.09365628604382922
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,2.0,L3-U,8000,6378,0.79725,wilson_score,0.95,0.7882981943553412,0.8059164742471477,0.008809139945903266,0.011,True,,,0.255375,0.255375,0.47128027681660906
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,4.0,L0,8000,5487,0.685875,wilson_score,0.95,0.6756165301008917,0.6959550477846849,0.010169258841896567,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,4.0,L1,8000,5487,0.685875,wilson_score,0.95,0.6756165301008917,0.6959550477846849,0.010169258841896567,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,4.0,L2-independent_word_marginals,8000,5793,0.724125,wilson_score,0.95,0.7142250565851953,0.733809804980937,0.009792374197870823,0.011,True,0.131,ac4e314c0b4ce3b68ba671935652598ca285ec0ed85653390da5b1accc8e4e56,0.038250000000000006,0.038250000000000006,0.05576817933296884
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,4.0,L3-U,8000,7364,0.9205,wilson_score,0.95,0.9143682990849413,0.9262280613771161,0.00592988114608739,0.011,True,,,0.23462499999999997,0.23462499999999997,0.34208128303262253
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,0.5,L0,8000,2949,0.368625,wilson_score,0.95,0.3581188403364176,0.3792572670221963,0.01056921334288935,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,0.5,L1,8000,2949,0.368625,wilson_score,0.95,0.3581188403364176,0.3792572670221963,0.01056921334288935,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,0.5,L2-independent_word_marginals,8000,3077,0.384625,wilson_score,0.95,0.3740219406380197,0.39533880826017315,0.010658433811076728,0.011,True,0.19925,ac4e314c0b4ce3b68ba671935652598ca285ec0ed85653390da5b1accc8e4e56,0.016000000000000014,0.016000000000000014,0.04340454391319095
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,0.5,L3-U,8000,4148,0.5185,wilson_score,0.95,0.5075447156652992,0.5294375261148387,0.01094640522476975,0.011,True,,,0.14987499999999998,0.14987499999999998,0.40657850118684297
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L0,8000,4490,0.56125,wilson_score,0.95,0.5503491602311247,0.5720920456625759,0.010871442715725599,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L1,8000,4490,0.56125,wilson_score,0.95,0.5503491602311247,0.5720920456625759,0.010871442715725599,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L2-independent_word_marginals,8000,4617,0.577125,wilson_score,0.95,0.566265116210389,0.5879108512108623,0.010822867500236644,0.011,True,0.212875,ac4e314c0b4ce3b68ba671935652598ca285ec0ed85653390da5b1accc8e4e56,0.015874999999999972,0.015874999999999972,0.028285077951002175
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,1.0,L3-U,8000,5852,0.7315,wilson_score,0.95,0.7216791735497737,0.7410986087260082,0.009709717588117228,0.011,True,,,0.17025,0.17025,0.30334075723830733
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L0,8000,5947,0.743375,wilson_score,0.95,0.73368879264512,0.7528275907733181,0.009569399064099038,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L1,8000,5947,0.743375,wilson_score,0.95,0.73368879264512,0.7528275907733181,0.009569399064099038,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L2-independent_word_marginals,8000,5899,0.737375,wilson_score,0.95,0.7276196423141448,0.7469025005269512,0.009641429106403199,0.011,True,0.181,ac4e314c0b4ce3b68ba671935652598ca285ec0ed85653390da5b1accc8e4e56,-0.006000000000000005,0.006000000000000005,-0.008071296451992609
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,2.0,L3-U,8000,7212,0.9015,wilson_score,0.95,0.8947761599576399,0.9078384386761674,0.006531139359263749,0.011,True,,,0.15812499999999996,0.15812499999999996,0.21271229191188828
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,4.0,L0,8000,6986,0.87325,wilson_score,0.95,0.8657800900531025,0.8803616258623859,0.007290767904641671,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,non-clean-two-singletons,4.0,L1,8000,6986,0.87325,wilson_score,0.95,0.8657800900531025,0.8803616258623859,0.007290767904641671,0.011,True,0.0,,0.0,0.0,0.0
