energy_MeV,sigma_cm2_per_bit,origin
12.0226443462,8.015188723411e-14,ASSUMPTION_unmeasured_5_to_40_bridge
12.5892541179,8.083413493205e-14,ASSUMPTION_unmeasured_5_to_40_bridge
13.1825673856,8.152218987842e-14,ASSUMPTION_unmeasured_5_to_40_bridge
13.803842646,8.221610150415e-14,ASSUMPTION_unmeasured_5_to_40_bridge
14.4543977075,8.291591966091e-14,ASSUMPTION_unmeasured_5_to_40_bridge
15.1356124844,8.362169462471e-14,ASSUMPTION_unmeasured_5_to_40_bridge
15.8489319246,8.433347709951e-14,ASSUMPTION_unmeasured_5_to_40_bridge
16.5958690744,8.505131822086e-14,ASSUMPTION_unmeasured_5_to_40_bridge
17.3780082875,8.577526955957e-14,ASSUMPTION_unmeasured_5_to_40_bridge
18.1970085861,8.650538312540e-14,ASSUMPTION_unmeasured_5_to_40_bridge
19.0546071796,8.724171137086e-14,ASSUMPTION_unmeasured_5_to_40_bridge
19.9526231497,8.798430719487e-14,ASSUMPTION_unmeasured_5_to_40_bridge
20.8929613085,8.873322394668e-14,ASSUMPTION_unmeasured_5_to_40_bridge
21.8776162395,8.948851542961e-14,ASSUMPTION_unmeasured_5_to_40_bridge
22.9086765277,9.025023590496e-14,ASSUMPTION_unmeasured_5_to_40_bridge
23.9883291902,9.101844009589e-14,ASSUMPTION_unmeasured_5_to_40_bridge
25.1188643151,9.179318319139e-14,ASSUMPTION_unmeasured_5_to_40_bridge
26.302679919,9.257452085017e-14,ASSUMPTION_unmeasured_5_to_40_bridge
27.5422870334,9.336250920475e-14,ASSUMPTION_unmeasured_5_to_40_bridge
28.8403150313,9.415720486542e-14,ASSUMPTION_unmeasured_5_to_40_bridge
29,9.425294180986e-14,ASSUMPTION_unmeasured_5_to_40_bridge
30.199517204,9.495866492432e-14,ASSUMPTION_unmeasured_5_to_40_bridge
31.6227766017,9.576694695959e-14,ASSUMPTION_unmeasured_5_to_40_bridge
33.1131121483,9.658210903944e-14,ASSUMPTION_unmeasured_5_to_40_bridge
34.6736850453,9.740420972638e-14,ASSUMPTION_unmeasured_5_to_40_bridge
36.307805477,9.823330808137e-14,ASSUMPTION_unmeasured_5_to_40_bridge
38.0189396321,9.906946366812e-14,ASSUMPTION_unmeasured_5_to_40_bridge
39.8107170553,9.991273655734e-14,ASSUMPTION_unmeasured_5_to_40_bridge
40,1.000000000000e-13,EXPERIMENTAL_marker_anchor
41.686938347,9.937406676927e-14,INTERPOLATION_loglog_between_anchors
43.651583224,9.868087718295e-14,INTERPOLATION_loglog_between_anchors
45.7088189615,9.799252298095e-14,INTERPOLATION_loglog_between_anchors
47.8630092323,9.730897043374e-14,INTERPOLATION_loglog_between_anchors
50.1187233627,9.663018604710e-14,INTERPOLATION_loglog_between_anchors
52.480746025,9.595613656046e-14,INTERPOLATION_loglog_between_anchors
54.9540873858,9.528678894524e-14,INTERPOLATION_loglog_between_anchors
57.5439937337,9.462211040327e-14,INTERPOLATION_loglog_between_anchors
60.2559586074,9.396206836516e-14,INTERPOLATION_loglog_between_anchors
63.095734448,9.330663048869e-14,INTERPOLATION_loglog_between_anchors
66.0693448008,9.265576465728e-14,INTERPOLATION_loglog_between_anchors
69.1830970919,9.200943897835e-14,INTERPOLATION_loglog_between_anchors
72.4435960075,9.136762178182e-14,INTERPOLATION_loglog_between_anchors
75.8577575029,9.073028161849e-14,INTERPOLATION_loglog_between_anchors
