LET_MeV_cm2_mg,sigma_normal_cm2_per_bit,sigma_iso60_cm2_per_bit
1.62181009736,2.512873502061e-09,1.375217696082e-09
1.67880401812,2.629495676585e-09,1.437238785153e-09
1.73780082875,2.751079137835e-09,1.501871211980e-09
1.79887091513,2.877829231598e-09,1.569221706502e-09
1.86208713666,3.009959576354e-09,1.639401182097e-09
1.92752491319,3.147692376661e-09,1.712524884090e-09
1.99526231497,3.291258746726e-09,1.788712542175e-09
2.06538015581,3.440899044330e-09,1.868088526709e-09
2.1379620895,3.596863215273e-09,1.950782008854e-09
2.21309470961,3.759411148472e-09,2.036927124481e-09
2.29086765277,3.928813041848e-09,2.126663141764e-09
2.37137370566,4.105349779090e-09,2.220134632354e-09
2.45470891569,4.289313317384e-09,2.317491646005e-09
2.54097270555,4.481007086157e-09,2.418889888477e-09
2.6302679919,4.680746396850e-09,2.524490902555e-09
2.72270130808,4.888858863711e-09,2.634462251927e-09
2.81838293126,5.105684835552e-09,2.748977707692e-09
2.917427014,5.331577838366e-09,2.868217437185e-09
3.0199517204,5.566905028667e-09,2.992368194774e-09
3.12607936712,5.812047657347e-09,3.121623514251e-09
3.2359365693,6.067401543784e-09,3.256183902374e-09
3.34965439158,6.333377559891e-09,3.396257033062e-09
3.46736850453,6.610402123679e-09,3.542057941683e-09
3.58921934645,6.898917701883e-09,3.693809218829e-09
3.71535229097,7.199383321056e-09,3.851741202869e-09
3.84591782045,7.512275086487e-09,4.016092170528e-09
3.98107170553,7.838086708149e-09,4.187108524630e-09
4.12097519097,8.177330032807e-09,4.365044978070e-09
4.26579518802,8.530535581259e-09,4.550164732994e-09
4.41570447353,8.898253089559e-09,4.742739654028e-09
4.57088189615,9.281052052920e-09,4.943050434335e-09
4.73151258961,9.679522270824e-09,5.151386753132e-09
4.89778819368,1.009427439170e-08,5.368047423171e-09
5,1.035033642859e-08,5.501715048823e-09
5.06990708275,1.052594045534e-08,5.593340526582e-09
5.2480746025,1.097517443094e-08,5.827583537316e-09
