energy_mev,main_loglog,linear_energy,gap_linear_5_40,low_hold,supported_only_diagnostic,experimental_sigma_cm2_per_bit,experimental_value_type,experimental_source
1.14279575,3.152762669e-10,3.649602791e-10,3.152762669e-10,3.152762669e-10,3.152762669e-10,,,
1.17070852,2.703751146e-10,3.408017724e-10,2.703751146e-10,2.703751146e-10,2.703751146e-10,,,
1.19930307,2.318687141e-10,3.160531945e-10,2.318687141e-10,2.318687141e-10,2.318687141e-10,,,
1.22859603,1.988463349e-10,2.907001327e-10,1.988463349e-10,1.988463349e-10,1.988463349e-10,,,
1.25860448,1.705269512e-10,2.647278227e-10,1.705269512e-10,1.705269512e-10,1.705269512e-10,,,
1.28934588,1.462407698e-10,2.381211393e-10,1.462407698e-10,1.462407698e-10,1.462407698e-10,,,
1.32083814,1.254133883e-10,2.108645878e-10,1.254133883e-10,1.254133883e-10,1.254133883e-10,,,
1.3530996,1.075522099e-10,1.829422954e-10,1.075522099e-10,1.075522099e-10,1.075522099e-10,,,
1.38614905,9.223479257e-11,1.543380013e-10,9.223479257e-11,9.223479257e-11,9.223479257e-11,,,
1.42000572,7.909885783e-11,1.250350476e-10,7.909885783e-11,7.909885783e-11,7.909885783e-11,,,
1.45468935,6.783372234e-11,9.501636946e-11,6.783372234e-11,6.783372234e-11,6.783372234e-11,,,
1.49022012,5.817294981e-11,6.426448546e-11,5.817294981e-11,5.817294981e-11,5.817294981e-11,,,
1.5,5.580000000e-11,5.580000000e-11,5.580000000e-11,5.580000000e-11,5.580000000e-11,5.580000000e-11,experimental marker-centre digitization,REDW2020 Fig.6 digitized experimental CNA marker
1.52661873,4.938682792e-11,5.435753088e-11,4.938682792e-11,4.938682792e-11,4.938682792e-11,,,
1.56390638,4.177056830e-11,5.233691327e-11,4.177056830e-11,4.177056830e-11,4.177056830e-11,,,
1.60210478,3.532886095e-11,5.026694208e-11,3.532886095e-11,3.532886095e-11,3.532886095e-11,,,
1.64123617,2.988057062e-11,4.814641188e-11,2.988057062e-11,2.988057062e-11,2.988057062e-11,,,
1.68132335,2.527249611e-11,4.597408774e-11,2.527249611e-11,2.527249611e-11,2.527249611e-11,,,
1.72238965,2.137506233e-11,4.374870460e-11,2.137506233e-11,2.137506233e-11,2.137506233e-11,,,
1.76445901,1.807867681e-11,4.146896651e-11,1.807867681e-11,1.807867681e-11,1.807867681e-11,,,
1.8075559,1.529064806e-11,3.913354583e-11,1.529064806e-11,1.529064806e-11,1.529064806e-11,,,
1.85170543,1.293257912e-11,3.674108253e-11,1.293257912e-11,1.293257912e-11,1.293257912e-11,,,
1.89693332,1.093816311e-11,3.429018334e-11,1.093816311e-11,1.093816311e-11,1.093816311e-11,,,
1.9432659,9.251318796e-12,3.177942096e-11,9.251318796e-12,9.251318796e-12,9.251318796e-12,,,
1.99073015,7.824613565e-12,2.920733323e-11,7.824613565e-12,7.824613565e-12,7.824613565e-12,,,
2.03935371,6.617929702e-12,2.657242228e-11,6.617929702e-12,6.617929702e-12,6.617929702e-12,,,
2.08916491,5.597336300e-12,2.387315366e-11,5.597336300e-12,5.597336300e-12,5.597336300e-12,,,
2.14019274,4.734135155e-12,2.110795543e-11,4.734135155e-12,4.734135155e-12,4.734135155e-12,,,
2.19246693,4.004053797e-12,1.827521726e-11,4.004053797e-12,4.004053797e-12,4.004053797e-12,,,
2.24601791,3.386562970e-12,1.537328949e-11,3.386562970e-12,3.386562970e-12,3.386562970e-12,,,
2.30087687,2.864299365e-12,1.240048216e-11,2.864299365e-12,2.864299365e-12,2.864299365e-12,,,
2.35707577,2.422577382e-12,9.355064038e-12,2.422577382e-12,2.422577382e-12,2.422577382e-12,,,
