sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,valid_5min_intervals,q_M_period_event_weighted,q_M_time_median,r_M_background_median_s-1,r_M_p95_s-1,r_M_p99_s-1,r_M_peak_s-1,peak_timestamp_utc,tau_D_upper_background_s,tau_D_upper_p95_s,tau_D_upper_p99_s,tau_D_upper_peak_s,expected_upper_multi_events_valid_period,F_D_upper_valid_period,E_lt_0p9_bit_fraction_period,bit_rate_background_median_s-1
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,2.0,16971,0.003704374005742966,0.012213103577172382,7.901205350458288e-07,8.145168822533802e-06,0.00038866839833713975,0.04878476548864029,2026-01-19T19:20:00+00:00,1265629.6800867196,122772.16369456657,2572.8873360385155,20.498202461029635,372.79494575995227,1.0,0.35001805002035374,6.534243075672024e-05
published_rpp_fluka_digitized,raw_nearest_observed,low_energy_conservative,2.0,16971,0.008234946903713167,0.016636107875522076,1.0666318771720845e-06,1.7783366911030166e-05,0.0008398179345946269,0.10909290362624229,2026-01-19T19:20:00+00:00,937530.577701519,56232.32119108717,1190.7342756173593,9.166499073359068,825.0116116773104,1.0,0.35001805002035374,6.534243075672024e-05
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,K1_only,2.0,16971,0.0030681574280969097,0.011578138425495895,7.500570643343203e-07,6.735174508526795e-06,0.000326411648914942,0.0402381144516384,2026-01-19T19:20:00+00:00,1333231.8933460154,148474.25240934597,3063.616152561348,24.852059139149908,308.95794038067254,1.0,0.35001805002035374,6.534243075672024e-05
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,low_energy_conservative,2.0,16971,0.007593068131996984,0.01599213056421843,1.0268802059771882e-06,1.6413036240150444e-05,0.0007783130536391932,0.10054625258924041,2026-01-19T19:20:00+00:00,973823.4257309412,60927.17918661184,1284.8300504845129,9.945671511849179,761.1746062980307,1.0,0.35001805002035374,6.534243075672024e-05
main_loglog,nominal_logE_linear,K1_only,3.0,16971,0.004079844217483237,0.027956857203319866,7.793948077941165e-07,4.1385048818419055e-06,0.000210518500373601,0.024012603637687376,2026-01-19T19:20:00+00:00,1283046.781938735,241633.15703398047,4750.176341867006,41.644796836213,190.23899965980755,1.0,0.3270531509573191,2.8886786427315624e-05
main_loglog,nominal_logE_linear,low_energy_conservative,3.0,16971,0.00831584764311134,0.03190557458209593,8.833360650432241e-07,8.019100928669287e-06,0.00041803134870925697,0.049673616568105566,2026-01-19T19:20:00+00:00,1132071.9707635476,124702.2588810268,2392.1650926124807,20.1314111814053,386.130540669475,1.0,0.3270531509573191,2.8886786427315624e-05
main_loglog,raw_nearest_observed,K1_only,3.0,16971,0.004041599370587656,0.027950802993690453,7.790586528210036e-07,4.1221365645350105e-06,0.00020815582491316804,0.023816075767439847,2026-01-19T19:20:00+00:00,1283600.4020736546,242592.64203023876,4804.0932816420045,41.98844552582211,188.471082086853,1.0,0.3270531509573191,2.8886786427315624e-05
main_loglog,raw_nearest_observed,low_energy_conservative,3.0,16971,0.008277093858335078,0.03188908493029837,8.831890824648861e-07,8.00179909030708e-06,0.00041505548683682053,0.049477088697858045,2026-01-19T19:20:00+00:00,1132260.3730665548,124971.89553426088,2409.316420850379,20.211375129743473,384.36262309652045,1.0,0.3270531509573191,2.8886786427315624e-05
main_loglog,false_mcu_aware_logE_linear,K1_only,3.0,16971,0.0035129143860034785,0.027428893133173916,7.651721300297086e-07,3.6259963724519468e-06,0.0001811898604883798,0.020562660528495664,2026-01-19T19:20:00+00:00,1306895.4824075648,275786.26597571216,5519.072630800622,48.63183918317396,163.89617675890418,1.0,0.3270531509573191,2.8886786427315624e-05
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,3.0,16971,0.007744125558048378,0.03137472488663653,8.694932506745547e-07,7.496036124191629e-06,0.0003902602711780857,0.04622367345891386,2026-01-19T19:20:00+00:00,1150095.183860482,133403.8395002852,2562.3925207177303,21.633936145054655,359.7877177685717,1.0,0.3270531509573191,2.8886786427315624e-05
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,3.0,16971,0.0037802788397979952,0.022437817492704827,6.68459627386907e-07,4.118679514642678e-06,0.00021194102798635439,0.0243602246554742,2026-01-19T19:20:00+00:00,1495976.6589182448,242796.26429898528,4718.293619224985,41.05052453920129,191.8584459079481,1.0,0.34941689463748044,3.0496265522291417e-05
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,3.0,16971,0.008304234139613334,0.02671517027594483,7.892352352316293e-07,8.62382230406724e-06,0.00045175770362368086,0.05418934808293731,2026-01-19T19:20:00+00:00,1267049.360393184,115957.8623887428,2213.575976632401,18.453811226322387,419.5693361331328,1.0,0.34941689463748044,3.0496265522291417e-05
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,3.0,16971,0.0038289982167619857,0.022508493819926235,6.701894250497512e-07,4.182392944234269e-06,0.0002138194053080503,0.024706332581586315,2026-01-19T19:20:00+00:00,1492115.456649835,239097.5724503773,4676.843986911744,40.475452870139954,194.32730256606874,1.0,0.34941689463748044,3.0496265522291417e-05
published_rpp_fluka_digitized,raw_nearest_observed,low_energy_conservative,3.0,16971,0.00835326129191217,0.026779774910980787,7.910141764956871e-07,8.679922096963683e-06,0.0004536360809453768,0.054535456009049424,2026-01-19T19:20:00+00:00,1264199.8458613623,115208.40726782665,2204.410191349863,18.336694568650227,422.03819279125355,1.0,0.34941689463748044,3.0496265522291417e-05
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,K1_only,3.0,16971,0.003208145118615205,0.02189774225083078,6.52969148031048e-07,3.5415284462531315e-06,0.00018033263586849748,0.02056922854065779,2026-01-19T19:20:00+00:00,1531465.9245622598,282363.9609779164,5545.307953737348,48.616310428141155,162.91411053944253,1.0,0.34941689463748044,3.0496265522291417e-05
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,low_energy_conservative,3.0,16971,0.007726933158127036,0.02617057026467414,7.733587284955959e-07,8.053081135436984e-06,0.00042125544989191473,0.0503983519681209,2026-01-19T19:20:00+00:00,1293060.9859997137,124176.07412392438,2373.8565287560764,19.841918653065136,390.6250007646273,1.0,0.34941689463748044,3.0496265522291417e-05
main_loglog,nominal_logE_linear,K1_only,5.0,16971,0.004694077368426476,0.12031652600294546,6.967248674320511e-07,1.4460401765606874e-06,6.936030533847893e-05,0.006645009079245294,2026-01-19T19:15:00+00:00,1435286.792167679,691543.717947336,14417.468249598825,150.4888839239291,59.09074794153624,1.0,0.32200946863193003,7.168244789335396e-06
main_loglog,nominal_logE_linear,low_energy_conservative,5.0,16971,0.008871172033247339,0.12278300639758269,7.115184960429884e-07,2.242623029821034e-06,0.0001320204180025345,0.012984288153117564,2026-01-19T19:15:00+00:00,1405444.8416469307,445906.4170404966,7574.585924889302,77.01615893050689,111.2111610063347,1.0,0.32200946863193003,7.168244789335396e-06
main_loglog,raw_nearest_observed,K1_only,5.0,16971,0.0045776967232240605,0.12013186298038725,6.957711524103012e-07,1.4230488331688816e-06,6.757438048982728e-05,0.0064712129710356205,2026-01-19T19:15:00+00:00,1437254.1841319297,702716.5735227612,14798.507847963787,154.53053461165334,57.63718560574965,1.0,0.32200946863193003,7.168244789335396e-06
main_loglog,raw_nearest_observed,low_energy_conservative,5.0,16971,0.008753472225610829,0.1225813119721586,7.105537074524756e-07,2.2217765935450875e-06,0.00013022846118164057,0.01281049204490789,2026-01-19T19:15:00+00:00,1407353.1522131753,450090.2579068,7678.81299468951,78.0610140886427,109.75759867054809,1.0,0.32200946863193003,7.168244789335396e-06
main_loglog,false_mcu_aware_logE_linear,K1_only,5.0,16971,0.004132928870452323,0.11998529353827209,6.945235886247226e-07,1.3385041069159124e-06,6.085322329113701e-05,0.005789394990520367,2026-01-19T19:15:00+00:00,1439835.9053292542,747102.6759149287,16432.98326558234,172.72962056266906,52.05588188803654,1.0,0.32200946863193003,7.168244789335396e-06
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,5.0,16971,0.008305349102997005,0.12244851485511535,7.096031704407645e-07,2.1387657152568297e-06,0.00012365804327765475,0.01212867406439264,2026-01-19T19:15:00+00:00,1409238.3484967488,467559.39318950457,8086.817270386988,82.44924339551675,104.17629495283497,1.0,0.32200946863193003,7.168244789335396e-06
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,5.0,16971,0.0042150217555634506,0.10431431851984961,5.832298458985158e-07,1.3323977141740739e-06,6.781610389850296e-05,0.006505432232569556,2026-01-19T19:15:00+00:00,1714589.8945884944,750526.6553387024,14745.760114686786,153.71768765701427,57.352151311568655,1.0,0.34653212039141157,6.7065151304404916e-06
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,5.0,16971,0.008706722969811032,0.10722315449602089,5.997261392227055e-07,2.255299265971582e-06,0.00014050106702257113,0.013874757830526758,2026-01-19T19:15:00+00:00,1667427.738427547,443400.1354446415,7117.383669686669,72.0733300151614,117.94143759731483,1.0,0.34653212039141157,6.7065151304404916e-06
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,5.0,16971,0.004214581644130311,0.1042197959706627,5.828848182731987e-07,1.3316929011174528e-06,6.779468289370631e-05,0.006507025126477434,2026-01-19T19:15:00+00:00,1715604.8135933762,750923.8797930649,14750.419314858016,153.68005817757586,57.34943071445316,1.0,0.34653212039141157,6.7065151304404916e-06
published_rpp_fluka_digitized,raw_nearest_observed,low_energy_conservative,5.0,16971,0.008706023803669184,0.10713785656571756,5.993726742590322e-07,2.2552297900938537e-06,0.00014045666894019546,0.013876350724434636,2026-01-19T19:15:00+00:00,1668411.0620095234,443413.7950786753,7119.633460948632,72.06505657421273,117.9387170001993,1.0,0.34653212039141157,6.7065151304404916e-06
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,K1_only,5.0,16971,0.003645703919442784,0.10394432633997827,5.810019861499592e-07,1.2136723523816637e-06,5.8482587073774495e-05,0.005566681506795801,2026-01-19T19:15:00+00:00,1721164.5120639838,823945.6044604119,17099.10676041951,179.64023966149324,49.633805176669576,1.0,0.34653212039141157,6.7065151304404916e-06
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,low_energy_conservative,5.0,16971,0.008132302253125242,0.10685121090908918,5.977051108769254e-07,2.1356850242789733e-06,0.00013132641972801054,0.012936007104753004,2026-01-19T19:15:00+00:00,1673065.8343089055,468233.8400240499,7614.6140439303435,77.30360627527605,110.22309146241575,1.0,0.34653212039141157,6.7065151304404916e-06
main_loglog,nominal_logE_linear,K1_only,7.0,16971,0.004679069853350453,0.12793218579977433,6.85936974523489e-07,1.0547041504376757e-06,3.9131158432765085e-05,0.003580441932297293,2026-01-19T19:15:00+00:00,1457859.8867551736,948133.1798922239,25555.082958205643,279.29513141367363,33.789726554387066,0.9999999999999979,0.32303517146577526,6.742016442970413e-06
main_loglog,nominal_logE_linear,low_energy_conservative,7.0,16971,0.008869842624471456,0.13026029167307582,6.987344783115549e-07,1.517012611917197e-06,7.508929624787154e-05,0.007211232137173198,2026-01-19T19:15:00+00:00,1431158.8035793412,659190.3008216934,13317.477323252257,138.67255705791214,63.787161609204354,1.0,0.32303517146577526,6.742016442970413e-06
main_loglog,raw_nearest_observed,K1_only,7.0,16971,0.004609593114071869,0.12770884644683675,6.849985549787139e-07,1.0464058408423114e-06,3.8502733617595774e-05,0.0035237674982169223,2026-01-19T19:15:00+00:00,1459857.094196461,955652.1580527908,25972.18186978286,283.7871682811124,33.29211554397867,0.9999999999999966,0.32303517146577526,6.742016442970413e-06
main_loglog,raw_nearest_observed,low_energy_conservative,7.0,16971,0.008799556262029207,0.1300156381125338,6.979304828477613e-07,1.5088471012411057e-06,7.445160675828729e-05,0.007154557703092827,2026-01-19T19:15:00+00:00,1432807.4565817877,662757.6771545955,13431.543569591115,139.77104406715628,63.28955059879596,1.0,0.32303517146577526,6.742016442970413e-06
main_loglog,false_mcu_aware_logE_linear,K1_only,7.0,16971,0.004116392390150413,0.12761767280231714,6.839442084682595e-07,9.914317495992333e-07,3.4017623523362265e-05,0.0030906623459889242,2026-01-19T19:15:00+00:00,1462107.5631878942,1008642.2997894008,29396.527341577243,323.5552409333244,29.743030314742832,0.999999999999879,0.32303517146577526,6.742016442970413e-06
