sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,regime,horizon,duration_s,hazard_upper,F_D_upper,window_start_utc,window_end_utc
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,max_actual_contiguous_window,1h,3600,76847.57563302935,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,background_median_constant,6h,21600,27.69178895323614,0.999999999999059,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p95_constant,6h,21600,776.7180947633981,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p99_constant,6h,21600,3490.7667072851787,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,max_actual_contiguous_window,6h,21600,139905.88327055972,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,background_median_constant,24h,86400,110.76715581294457,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p95_constant,24h,86400,3106.8723790535923,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p99_constant,24h,86400,13963.066829140715,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,max_actual_contiguous_window,24h,86400,149356.44909768153,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,background_median_constant,7d,604800,775.370090690612,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p95_constant,7d,604800,21748.106653375147,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p99_constant,7d,604800,97741.467803985,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,max_actual_contiguous_window,7d,604800,161223.90780857464,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,background_median_constant,30d,2592000,3323.014674388337,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p95_constant,30d,2592000,93206.17137160778,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p99_constant,30d,2592000,418892.0048742214,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,180475.875100065,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,background_median_constant,5min,300,1.36423123533936,0.7444229208889951,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p95_constant,5min,300,37.85613532848311,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p99_constant,5min,300,169.13897404099956,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,5min,300,26251.16394807688,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,background_median_constant,1h,3600,16.37077482407232,0.9999999223282966,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p95_constant,1h,3600,454.2736239417973,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p99_constant,1h,3600,2029.6676884919948,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,1h,3600,266488.61263104953,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
