timestamp_utc,computed_s_1,reference_s_1,relative_error
2026-01-19T12:55:00+00:00,0.016655924583411745,0.016655925,2.5011415065617232e-08
2026-01-19T13:00:00+00:00,0.017364539647934944,0.01736454,2.0274942939042463e-08
2026-01-19T13:05:00+00:00,0.017904276987132282,0.017904277,7.1869516475596e-10
2026-01-19T13:10:00+00:00,0.018270041129969657,0.018270041,7.113813076000518e-09
2026-01-19T13:15:00+00:00,0.01831479192291898,0.018314792,4.208675624119896e-09
2026-01-19T13:20:00+00:00,0.01901334315331927,0.019013343,8.063772397831679e-09
2026-01-19T13:25:00+00:00,0.019373716946177413,0.019373717,2.7781238508609274e-09
2026-01-19T13:30:00+00:00,0.018745505377071793,0.018745505,2.01153179883798e-08
2026-01-19T13:35:00+00:00,0.01769376236432068,0.017693762,2.0590345979674666e-08
2026-01-19T13:40:00+00:00,0.016750704857577244,0.016750705,8.502493334771504e-09
2026-01-19T13:45:00+00:00,0.015975861902943124,0.015975862,6.07522000532396e-09
2026-01-19T13:50:00+00:00,0.015235881172672307,0.015235881,1.1333266977364028e-08
2026-01-19T13:55:00+00:00,0.014908196117028382,0.014908196,7.849935818992613e-09
2026-01-19T14:00:00+00:00,0.015345630853136701,0.015345631,9.57036561739183e-09
2026-01-19T14:05:00+00:00,0.015121822712119731,0.015121823,1.9037404963336556e-08
2026-01-19T14:10:00+00:00,0.014674587020519873,0.014674587,1.3983271893395709e-09
2026-01-19T14:15:00+00:00,0.014346742330094316,0.014346742,2.30083120240216e-08
2026-01-19T14:20:00+00:00,0.014472108404338175,0.014472108,2.7939134767958024e-08
2026-01-19T14:25:00+00:00,0.014634228251310537,0.014634228,1.7172790844653893e-08
2026-01-19T14:30:00+00:00,0.01477268714422061,0.014772687,9.762652599891832e-09
2026-01-19T14:35:00+00:00,0.014725911318551735,0.014725911,2.1632056267155544e-08
2026-01-19T14:40:00+00:00,0.015126201499371463,0.015126201,3.301367359748438e-08
2026-01-19T14:45:00+00:00,0.016030774764517898,0.016030775,1.468937731129082e-08
2026-01-19T14:50:00+00:00,0.01661326696983027,0.016613267,1.816002312883291e-09
2026-01-19T14:55:00+00:00,0.017058741203114007,0.017058741,1.1906740846317985e-08
2026-01-19T15:00:00+00:00,0.01742650040041383,0.0174265,2.297729495679918e-08
2026-01-19T15:05:00+00:00,0.017865379400338048,0.017865379,2.2408595274406963e-08
2026-01-19T15:10:00+00:00,0.017959930922275574,0.017959931,4.327657167447855e-09
2026-01-19T15:15:00+00:00,0.01910996146178253,0.019109961,2.4164493526814728e-08
2026-01-19T15:20:00+00:00,0.019464017236141662,0.019464017,1.2132216169982241e-08
2026-01-19T15:25:00+00:00,0.019756075682769395,0.019756076,1.6057369204644376e-08
2026-01-19T15:30:00+00:00,0.02021719759675452,0.020217198,1.994566599560909e-08
2026-01-19T15:35:00+00:00,0.02170789323724287,0.021707893,1.0928876016739775e-08
